2021-09-25 20:02:19.743 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-09-25 20:02:19.749 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-09-25 20:02:19.751 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-09-25 20:02:19.768 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-09-25 20:14:23.378 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-09-25 20:14:23.418 [main] INFO  com.hzl.gateway.GatewayApplication - Starting GatewayApplication using Java 1.8.0_202 on hzldeMacBook-Pro.local with PID 88339 (/Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway/target/classes started by hzl in /Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway)
2021-09-25 20:14:23.423 [main] INFO  com.hzl.gateway.GatewayApplication - The following profiles are active: local
2021-09-25 20:14:25.059 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 20:14:25.059 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-09-25 20:14:25.078 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
2021-09-25 20:14:25.095 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 20:14:25.096 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-09-25 20:14:25.108 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2021-09-25 20:14:25.353 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=53f98d1b-4e1a-3f60-9585-e7fa2a220ca4
2021-09-25 20:14:25.648 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-25 20:14:25.650 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-25 20:14:25.652 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-25 20:14:25.997 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-09-25 20:14:26.006 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-09-25 20:14:26.007 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-25 20:14:26.007 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-09-25 20:14:26.114 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-25 20:14:26.115 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2518 ms
2021-09-25 20:14:26.241 [main] INFO  c.hzl.cloud.config.mybatis.MasterDataSourceConfig - 注入主数据源
2021-09-25 20:14:26.399 [main] INFO  c.hzl.cloud.config.mybatis.MasterDataSourceConfig - 启动单数据源
